Town,Age Group,Gender,Count,Percent of Town
New Haven,18-24,F,6,4.1%
New Haven,18-24,M,4,2.7%
New Haven,25-34,F,10,6.8%
New Haven,25-34,M,12,8.1%
New Haven,35-44,F,19,12.8%
New Haven,35-44,M,15,10.1%
New Haven,45-54,F,20,13.5%
New Haven,45-54,M,12,8.1%
New Haven,55-64,F,8,5.4%
New Haven,55-64,M,16,10.8%
New Haven,55-64,U,1,0.7%
New Haven,65+,F,14,9.5%
New Haven,65+,M,11,7.4%
Hamden,18-24,F,3,3.8%
Hamden,18-24,M,1,1.3%
Hamden,25-34,F,6,7.7%
Hamden,25-34,M,8,10.3%
Hamden,35-44,F,13,16.7%
Hamden,35-44,M,7,9.0%
Hamden,45-54,F,3,3.8%
Hamden,45-54,M,4,5.1%
Hamden,55-64,F,9,11.5%
Hamden,55-64,M,4,5.1%
Hamden,65+,F,13,16.7%
Hamden,65+,M,7,9.0%
West Haven,18-24,F,3,3.8%
West Haven,18-24,M,1,1.3%
West Haven,25-34,F,2,2.6%
West Haven,25-34,M,19,24.4%
West Haven,35-44,F,3,3.8%
West Haven,35-44,M,4,5.1%
West Haven,45-54,F,6,7.7%
West Haven,45-54,M,8,10.3%
West Haven,55-64,F,8,10.3%
West Haven,55-64,M,10,12.8%
West Haven,65+,F,9,11.5%
West Haven,65+,M,5,6.4%
Stratford,18-24,F,2,2.7%
Stratford,25-34,F,3,4.0%
Stratford,25-34,M,7,9.3%
Stratford,35-44,F,8,10.7%
Stratford,35-44,M,5,6.7%
Stratford,45-54,F,7,9.3%
Stratford,45-54,M,3,4.0%
Stratford,55-64,F,7,9.3%
Stratford,55-64,M,5,6.7%
Stratford,65+,F,13,17.3%
Stratford,65+,M,13,17.3%
Stratford,65+,U,2,2.7%
Milford,18-24,F,1,1.6%
Milford,18-24,M,4,6.5%
Milford,25-34,F,3,4.8%
Milford,25-34,M,2,3.2%
Milford,35-44,F,3,4.8%
Milford,35-44,M,5,8.1%
Milford,45-54,F,4,6.5%
Milford,45-54,M,11,17.7%
Milford,55-64,F,2,3.2%
Milford,55-64,M,5,8.1%
Milford,65+,F,19,30.6%
Milford,65+,M,3,4.8%
East Haven,18-24,F,1,2.7%
East Haven,18-24,M,1,2.7%
East Haven,25-34,F,5,13.5%
East Haven,25-34,M,3,8.1%
East Haven,35-44,F,1,2.7%
East Haven,35-44,M,5,13.5%
East Haven,45-54,F,4,10.8%
East Haven,45-54,M,1,2.7%
East Haven,55-64,F,2,5.4%
East Haven,55-64,M,4,10.8%
East Haven,55-64,U,2,5.4%
East Haven,65+,F,2,5.4%
East Haven,65+,M,4,10.8%
East Haven,65+,U,2,5.4%
Wallingford,18-24,F,2,5.6%
