Town,Total Yes,Top Age Group,Top Age Count,Top Gender,Top Gender Count
New Haven,148,35-44,34,F,77
Hamden,78,35-44,20,F,47
West Haven,78,25-34,21,M,47
Stratford,75,65+,28,F,40
Milford,62,65+,22,F,32
East Haven,37,25-34,8,M,18
Wallingford,36,35-44,9,M,21
Naugatuck,29,25-34,8,F,15
Middletown,28,55-64,9,M,19
Shelton,28,25-34,9,F,14
Branford,22,55-64,11,F,16
Guilford,22,35-44,10,F,13
Seymour,21,35-44,6,F,13
North Branford,17,35-44,10,F,12
North Haven,17,65+,6,F,9
Waterbury,16,65+,5,F,8
Ansonia,13,55-64,4,M,9
Prospect,12,65+,4,F,9
Derby,11,55-64,5,F,6
Middlefield,10,55-64,8,F,9
Beacon Falls,9,65+,6,F,5
Durham,6,18-24,2,F,5
Orange,5,45-54,2,M,4
Woodbridge,3,18-24,1,F,2
Bethany,2,45-54,1,F,2
