Town,Total Yes,Top Age Group,Top Age Count,Top Gender,Top Gender Count
New Haven,139,35-44,29,F,73
Hamden,76,35-44,19,F,40
Stratford,74,65+,26,F,40
Milford,64,65+,26,F,36
West Haven,63,55-64,17,M,31
East Haven,37,55-64,9,F,16
Wallingford,35,65+,10,F,18
Shelton,32,25-34,10,F,17
Guilford,27,35-44,10,F,16
Naugatuck,26,25-34,7,F,16
Middletown,25,55-64,9,M,16
Seymour,23,55-64,6,F,15
Branford,22,65+,9,F,14
North Haven,22,65+,6,M,13
Ansonia,16,35-44,4,M,10
North Branford,16,35-44,7,F,12
Waterbury,15,65+,5,F,9
Prospect,11,25-34,3,F,8
Beacon Falls,8,65+,5,F,5
Derby,8,55-64,4,M,5
Durham,6,55-64,2,F,5
Orange,6,65+,3,M,3
Bethany,4,55-64,2,F,3
Middlefield,4,55-64,2,F,3
Woodbridge,4,18-24,1,F,2
